"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"G Michaels Consulting Ltd",53.512252,-113.520098,541330,"Engineering Services",3.234,14,NA,NA,TRUE,"AB","Edmonton",2017
"Niven Fischer Energy Svc",51.0488226,-114.073211,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Olynyk Acoustic Engineer",53.5272775,-113.4652276,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Edmonton",2017
"Able Compressor Svc",51.014424,-114.034467,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Absolute Systems Inc",53.55439,-113.632008,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Edmonton",2017
"Grey Owl Engineering Ltd",51.0459894,-114.0799615,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Calgary",2017
"Acorn Consulting Engineering",51.044581,-114.1057715,541330,"Engineering Services",2.079,9,NA,NA,TRUE,"AB","Calgary",2017
"RPS Energy",51.0496618,-114.0723191,541330,"Engineering Services",11.55,50,NA,NA,TRUE,"AB","Calgary",2017
"Adart Engineering Svc Ltd",51.04955,-114.186935,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Calgary",2017
"Adem Engineering Ltd",51.010143,-114.034615,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Calgary",2017
"Al Neufeld Consulting Ltd",51.11978,-114.171747,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Al-Terra Engineering Ltd",52.266308,-113.814039,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Red Deer",2017
"Al-Terra Engineering Ltd",53.519502,-113.425859,541330,"Engineering Services",5.082,22,NA,NA,TRUE,"AB","Edmonton",2017
"Alexander Mac Taggart Alberta",53.533972,-113.444831,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Edmonton",2017
"All-Can Engineering & Surveys",51.044401,-114.100386,541370,"Surveying & Mapping (except Geophysical) Services",12.495,85,NA,NA,TRUE,"AB","Calgary",2017
"Altus Geomatics LP",51.0470728,-114.0805162,541370,"Surveying & Mapping (except Geophysical) Services",8.82,60,2,2,FALSE,"AB","Calgary",2017
"Allen Wasnea Engineering Ltd",53.537256,-113.501262,541330,"Engineering Services",1.155,5,NA,NA,TRUE,"AB","Edmonton",2017
"Almor Testing Svc Ltd",50.987696,-113.976554,541330,"Engineering Services",8.085,35,NA,NA,TRUE,"AB","Calgary",2017
"Alphamet Metallurgical",53.476545,-113.467776,541330,"Engineering Services",3.927,17,NA,NA,TRUE,"AB","Edmonton",2017
"Altacan Surveying & Engrng Ltd",53.5120109,-113.4978419,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Edmonton",2017
"Pro West Land Svc Ltd",51.048089,-114.081222,541370,"Surveying & Mapping (except Geophysical) Services",0.588,4,NA,NA,TRUE,"AB","Calgary",2017
"Amtech Aeronautical Ltd",50.036878,-110.696713,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Medicine Hat",2017
"Antelope Land Svc Ltd",51.044401,-114.100386,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Calgary",2017
"Arcos Acoustical Consulting",51.06084,-114.126259,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Dnv Energy Canada",51.093253,-113.994407,541330,"Engineering Services",8.778,38,NA,NA,TRUE,"AB","Calgary",2017
"Associated Engineering",49.69415,-112.841472,541330,"Engineering Services",3.696,16,NA,2,FALSE,"AB","Lethbridge",2017
"Associated Engineering",51.150636,-114.202322,541330,"Engineering Services",23.1,100,NA,2,FALSE,"AB","Calgary",2017
"Aurian Consulting Ltd",51.0917795,-114.031341,541370,"Surveying & Mapping (except Geophysical) Services",1.47,10,NA,NA,TRUE,"AB","Calgary",2017
"Azimuthal Surveys Ltd",53.4620662,-113.4355664,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Edmonton",2017
"B M Potter Consultants Ltd",51.076997,-114.011656,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Calgary",2017
"D A Watt Consulting",51.056761,-113.991305,541330,"Engineering Services",17.325,75,NA,NA,TRUE,"AB","Calgary",2017
"Barbara Howes Petroleum Inc",51.113579,-114.161711,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Barnett Engineering Ltd",50.98872,-114.049858,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"Beairsto & Assoc",55.163336,-118.823485,541330,"Engineering Services",15.015,65,NA,NA,TRUE,"AB","Grande Prairie",2017
"Beck Engineering Ltd",51.054445,-113.995987,541330,"Engineering Services",6.006,26,NA,NA,TRUE,"AB","Calgary",2017
"Becker Elzein & Assoc Ltd",53.550618,-113.617874,541330,"Engineering Services",2.31,10,NA,NA,TRUE,"AB","Edmonton",2017
"Bemoco Land Surveying Ltd",52.261416,-113.827939,541370,"Surveying & Mapping (except Geophysical) Services",2.058,14,NA,NA,TRUE,"AB","Red Deer",2017
"Cum Ben Engrng & Devmnt Ltd",50.942396,-114.101845,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Beta Machinery Analysis Ltd",51.02297,-114.045844,541330,"Engineering Services",11.55,50,NA,NA,TRUE,"AB","Calgary",2017
"Biomech Designs Ltd",53.5354225,-113.4543035,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Edmonton",2017
"Bissett Resource Conslnts Ltd",51.048122,-114.082238,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Calgary",2017
"AECOM",50.56262,-111.906188,541330,"Engineering Services",6.93,30,NA,2,FALSE,"AB","Brooks",2017
"Bohnert Engineering Svc Ltd",49.700748,-112.820951,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Lethbridge",2017
"Bolstad Engineering Assoc Ltd",53.442405,-113.519989,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"BPTEC-DNW Engineering Ltd",53.4787431,-113.4822873,541330,"Engineering Services",6.468,28,NA,NA,TRUE,"AB","Edmonton",2017
"Weir Canada Inc",51.0757872,-114.0147379,541330,"Engineering Services",9.24,40,NA,2,FALSE,"AB","Calgary",2017
"CIMA+",51.118208,-114.040209,541330,"Engineering Services",9.702,42,NA,2,FALSE,"AB","Calgary",2017
"Brite Steel",53.5544045,-113.528873,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",9.112,8,NA,NA,TRUE,"AB","Edmonton",2017
"Brown Okamura & Assoc Ltd",49.7070095,-112.83453,541370,"Surveying & Mapping (except Geophysical) Services",3.234,22,NA,NA,TRUE,"AB","Lethbridge",2017
"Martin & Brusset Assoc",51.0400655,-114.0817016,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Calgary",2017
"Building Envelope Engrng Inc",51.017626,-114.043328,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Calgary",2017
"Xtel International Inc",53.548701,-113.762609,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Acheson",2017
"C & M Engineering Ltd",51.076481,-114.025327,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"CH2M HILL CANADA LTD",51.112311,-114.04416,541330,"Engineering Services",27.72,120,NA,2,FALSE,"AB","Calgary",2017
"CIM Systems Ltd",50.9730432,-114.0846109,541511,"Custom Computer Programming Services",1.035,5,NA,NA,TRUE,"AB","Calgary",2017
"CTM Design Svc Ltd",50.9082485,-114.0622455,541330,"Engineering Services",9.24,40,NA,NA,TRUE,"AB","Calgary",2017
"Focus Surveys Ltd",55.288095,-114.769951,541370,"Surveying & Mapping (except Geophysical) Services",2.94,20,NA,NA,TRUE,"AB","Slave Lake",2017
"Calgary Metal Recycling",51.0258085,-114.0308835,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",91.12,80,NA,NA,TRUE,"AB","Calgary",2017
"Caltech Surveys Ltd",51.0432323,-114.0659012,541370,"Surveying & Mapping (except Geophysical) Services",3.675,25,NA,NA,TRUE,"AB","Calgary",2017
"Calc Engineering Inc",51.075934,-114.014561,541330,"Engineering Services",6.93,30,NA,NA,TRUE,"AB","Calgary",2017
"Campbell Ryder Engineering Ltd",53.598423,-113.5051525,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Edmonton",2017
"Geotrek Land Survey Ltd",51.034984,-114.036772,541370,"Surveying & Mapping (except Geophysical) Services",1.029,7,NA,NA,TRUE,"AB","Calgary",2017
"Can-Am Geomatics Corp",53.561151,-113.316304,541370,"Surveying & Mapping (except Geophysical) Services",0.588,4,NA,NA,TRUE,"AB","Sherwood Park",2017
"Acuren Group Inc",51.075102,-114.023607,541330,"Engineering Services",5.775,25,NA,2,FALSE,"AB","Calgary",2017
"Gemini Corp",53.7394988,-113.0390751,541330,"Engineering Services",1.617,7,2,2,FALSE,"AB","Fort Saskatchewan",2017
"Carswell Consulting Engineers",51.058369,-114.13771,541330,"Engineering Services",1.155,5,NA,NA,TRUE,"AB","Calgary",2017
"Isl Engineering & Land Svc",51.090553,-115.356769,541330,"Engineering Services",3.465,15,NA,NA,TRUE,"AB","Canmore",2017
"C-Fer Technologies Inc",53.448216,-113.476159,541330,"Engineering Services",18.249,79,NA,NA,TRUE,"AB","Edmonton",2017
"V 3 Co-Canada",53.5395063,-113.4182836,541330,"Engineering Services",13.86,60,NA,NA,TRUE,"AB","Edmonton",2017
"Stantec",50.987641,-113.995802,541330,"Engineering Services",41.58,180,2,2,FALSE,"AB","Calgary",2017
"Clifton Associates Ltd",51.079806,-114.01144,541330,"Engineering Services",9.24,40,NA,2,FALSE,"AB","Calgary",2017
"Co Syn Technology",53.431786,-113.418022,541330,"Engineering Services",127.05,550,NA,NA,TRUE,"AB","Edmonton",2017
"Co-Ordinated Engineering Ltd",53.478668,-113.4752735,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"Codeco Consulting Inc",51.046921,-114.077711,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Calgary",2017
"Colleaux Engineering Ltd",51.117959,-114.040121,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"Worley Parsons Canada Svc Ltd",53.506788,-113.469882,541330,"Engineering Services",161.7,700,NA,2,FALSE,"AB","Edmonton",2017
"EPIC Information Solutions",53.4800282,-113.5844832,541511,"Custom Computer Programming Services",1.035,5,2,2,FALSE,"AB","Edmonton",2017
"Compusim Inc",51.138724,-114.158581,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Stonecrop Surveys",50.965134,-114.11812,541370,"Surveying & Mapping (except Geophysical) Services",0.147,1,NA,NA,TRUE,"AB","Calgary",2017
"Continental Stress Relieving",51.0513425,-113.9969135,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Calgary",2017
"Stanley Geomatics Ltd",51.0417577,-114.0717498,541370,"Surveying & Mapping (except Geophysical) Services",14.7,100,NA,NA,TRUE,"AB","Calgary",2017
"Cost-View Consultants Inc",53.5336483,-113.6150236,541370,"Surveying & Mapping (except Geophysical) Services",0.147,1,NA,NA,TRUE,"AB","Edmonton",2017
"Costplan Management Ltd",51.000947,-114.03394,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Calgary",2017
"Curtis Geo Solutions Inc",51.0587,-113.993324,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Calgary",2017
"Cyntech Canada",51.01741,-113.837836,541330,"Engineering Services",8.085,35,NA,2,FALSE,"AB","Rocky View County",2017
"Schlumberger DBR Tech Ctr",53.448066,-113.4716063,541330,"Engineering Services",21.252,92,NA,2,FALSE,"AB","Edmonton",2017
"TMTM Consulting Inc",50.9607036,-113.9067195,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"D M Professional Svc Ltd",51.049279,-114.067744,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"DCL Siemens Engineering Ltd",53.550618,-113.617874,541330,"Engineering Services",6.93,30,NA,NA,TRUE,"AB","Edmonton",2017
"Darsi Engineering",51.04619,-114.087356,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"WSP Canada",50.963442,-114.002621,541330,"Engineering Services",17.325,75,2,2,FALSE,"AB","Calgary",2017
"Bel MK Engineering Ltd",51.1790779176471,-115.569752872059,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Banff",2017
"Pinacle Stainless Steel Inc",53.513235,-113.41261,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",22.78,20,NA,NA,TRUE,"AB","Edmonton",2017
"Delaronde Engineering Inc",53.5485955,-113.630034,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Edmonton",2017
"Descon Engineering Svc Ltd",53.4843762,-113.4606359,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"Diagnostic Engineering Inc",50.988931,-114.048939,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"Don Wilson Surveys Ltd",54.113564,-114.393243,541370,"Surveying & Mapping (except Geophysical) Services",1.764,12,NA,NA,TRUE,"AB","Barrhead",2017
"Drayton Valve & Fitting Ltd",53.077149,-115.126776,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",5.695,5,NA,NA,TRUE,"AB","Drayton Valley",2017
"Tetra Tech EBA",49.703105,-112.832333,541330,"Engineering Services",6.93,30,NA,2,FALSE,"AB","Lethbridge",2017
"E J Friesen & Assoc Inc",50.930702,-114.052016,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Edmonton Exchanger & Mfg Ltd",53.493047,-113.463174,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",170.85,150,NA,NA,TRUE,"AB","Edmonton",2017
"Unified Alloys Ltd",53.486786,-113.464019,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",56.95,50,NA,NA,TRUE,"AB","Edmonton",2017
"Woods Edward Engineering Ltd",51.056,-114.129508,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Calgary",2017
"Elliot-Abrams Engineering Ltd",53.553426,-113.624354,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"Smith & Anderson",51.0479103,-114.0807387,541330,"Engineering Services",9.24,40,NA,NA,TRUE,"AB","Calgary",2017
"Ener-West Projects Ltd",50.972242,-114.110137,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Calgary",2017
"Omni-Mc Cann Consultants Ltd",53.455436,-113.475523,541330,"Engineering Services",2.541,11,NA,NA,TRUE,"AB","Edmonton",2017
"Federal Metals Inc",50.987641,-113.995802,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",14.807,13,NA,NA,TRUE,"AB","Calgary",2017
"Fekete Associates Inc",51.048764,-114.072354,541330,"Engineering Services",41.58,180,NA,NA,TRUE,"AB","Calgary",2017
"Fidias Consulting Engineering",53.806738,-113.448407,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Sturgeon County",2017
"WSP Canada",53.540795,-113.508677,541330,"Engineering Services",69.3,300,2,2,FALSE,"AB","Edmonton",2017
"Foothills Surveys Ltd",53.386079,-117.619735,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Hinton",2017
"Keystone Field Engineering Inc",53.077149,-115.126776,541330,"Engineering Services",2.31,10,NA,NA,TRUE,"AB","Drayton Valley",2017
"G B Thompson Resource Conslnts",51.047748,-114.078796,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Calgary",2017
"G Dentman Computer Specialist",53.121702,-113.671368,541511,"Custom Computer Programming Services",0.207,1,NA,NA,TRUE,"AB","Leduc",2017
"G E Hooper & Assoc Ltd",51.0865254,-113.99705,541370,"Surveying & Mapping (except Geophysical) Services",0.882,6,NA,NA,TRUE,"AB","Calgary",2017
"Focus Corp",56.245269,-117.316437,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Peace River",2017
"G P Value Engineering Ltd",53.47957,-113.452402,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Edmonton",2017
"G S Engineering Ltd",53.561379,-113.611119,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Edmonton",2017
"G T Henderson Engineering Ltd",50.9161469,-114.062244,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"GVM Geological Conslnts Ltd",51.082367,-114.162832,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Coffey Geotechnics Inc",51.069153,-113.990392,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Calgary",2017
"Geographic Air Survey",53.550159,-113.627352,541370,"Surveying & Mapping (except Geophysical) Services",1.617,11,NA,NA,TRUE,"AB","Edmonton",2017
"Focus Corp Ltd",50.03897,-110.674818,541370,"Surveying & Mapping (except Geophysical) Services",4.41,30,NA,NA,TRUE,"AB","Medicine Hat",2017
"Stantec",53.479734,-113.479426,541330,"Engineering Services",2.772,12,2,2,FALSE,"AB","Edmonton",2017
"Gillmore Surveys Ltd",53.541216,-113.440115,541370,"Surveying & Mapping (except Geophysical) Services",1.176,8,NA,NA,TRUE,"AB","Edmonton",2017
"Global Engineering & Testing",51.08165,-113.994797,541330,"Engineering Services",4.158,18,NA,NA,TRUE,"AB","Calgary",2017
"Trimble Engineering Assoc Ltd",51.047748,-114.078796,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"AMEC Foster Wheeler",53.291016,-110.035777,541330,"Engineering Services",3.234,14,NA,2,FALSE,"AB","Lloydminster",2017
"AMEC Foster Wheeler",50.0176835,-110.7073355,541330,"Engineering Services",3.003,13,NA,2,FALSE,"AB","Medicine Hat",2017
"S L R Consulting Ltd",50.9637251,-114.073997,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Calgary",2017
"Thimm Engineering Inc",50.996586,-113.980719,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Scheunhage Popek & Assoc Ltd",55.189315,-118.787933,541330,"Engineering Services",3.927,17,NA,NA,TRUE,"AB","Grande Prairie",2017
"MMP Engineering",51.040601,-114.06092,541330,"Engineering Services",2.31,10,NA,NA,TRUE,"AB","Calgary",2017
"Fjords Processing Canada Inc",50.987641,-113.995802,541330,"Engineering Services",13.86,60,NA,NA,TRUE,"AB","Calgary",2017
"Halma Surveys",49.696073,-112.833793,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Lethbridge",2017
"Hamilton & Olsen Surveys Ltd",53.568901,-113.57793,541370,"Surveying & Mapping (except Geophysical) Services",2.94,20,NA,NA,TRUE,"AB","Edmonton",2017
"Hanscomb Limited",53.541141,-113.493135,541370,"Surveying & Mapping (except Geophysical) Services",1.323,9,NA,NA,TRUE,"AB","Edmonton",2017
"Navland Geomatics Inc",53.55439,-113.632008,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Edmonton",2017
"Hemisphere Engineering Inc",53.555822,-113.527007,541330,"Engineering Services",19.635,85,NA,NA,TRUE,"AB","Edmonton",2017
"Heritage Engineering Ltd",51.017731,-114.085415,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Calgary",2017
"Heritage Freehold Speclsts",51.063448,-113.958093,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Calgary",2017
"High Time Industries Ltd",51.005845,-114.053763,541330,"Engineering Services",23.1,100,NA,NA,TRUE,"AB","Calgary",2017
"Englobe Corp",51.008833,-113.957312,541330,"Engineering Services",2.31,10,2,2,FALSE,"AB","Calgary",2017
"Horizon Land Svc Ltd",51.051163,-114.100547,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Calgary",2017
"Hunter Survey Systems Ltd",51.101591,-114.141536,541370,"Surveying & Mapping (except Geophysical) Services",0.882,6,NA,NA,TRUE,"AB","Calgary",2017
"Hydrogeological Consultants",53.570535,-113.616368,541330,"Engineering Services",4.851,21,NA,NA,TRUE,"AB","Edmonton",2017
"AMEC Foster Wheeler",55.182643,-118.794696,541330,"Engineering Services",1.848,8,NA,2,FALSE,"AB","Grande Prairie",2017
"Isl Engineering & Land Svc",55.168888,-118.81147,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Grande Prairie",2017
"ISL Engineering & Land Svc",52.2665,-113.815422,541330,"Engineering Services",2.541,11,NA,NA,TRUE,"AB","Red Deer",2017
"Integral Energy & Envrnmntl",50.99933,-114.034516,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Calgary",2017
"Jasa Engineering Inc",50.988931,-114.048939,541330,"Engineering Services",5.775,25,NA,NA,TRUE,"AB","Calgary",2017
"J K Engineering Ltd",51.0890392,-114.2018521,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Calgary",2017
"Petro J Land",51.0379276,-114.0824337,541370,"Surveying & Mapping (except Geophysical) Services",1.764,12,NA,NA,TRUE,"AB","Calgary",2017
"J R Paine & Assoc Ltd",55.160929,-118.823388,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Grande Prairie",2017
"J R Paine & Assoc Ltd",53.550483,-113.617992,541330,"Engineering Services",9.24,40,NA,NA,TRUE,"AB","Edmonton",2017
"J R Paine & Assoc Ltd",56.228397,-117.342071,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Peace River",2017
"J R Spronken & Assoc Ltd",51.070608,-114.1047347,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Calgary",2017
"E B Jacobsen & Assoc Ltd",53.545378,-113.627234,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"J O Engineering",53.543307,-113.632941,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Edmonton",2017
"Jovan Misic Land Surveyors Ltd",53.562849,-113.484163,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Edmonton",2017
"Kellam Berg Engineering & Srvy",51.00194,-114.067146,541330,"Engineering Services",9.24,40,NA,NA,TRUE,"AB","Calgary",2017
"Key North Surveys Ltd",54.264534,-110.739615,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Bonnyville",2017
"SNC-LAVALIN Inc",51.048568,-114.074635,541330,"Engineering Services",69.3,300,2,2,FALSE,"AB","Calgary",2017
"Kiriak Surveys Ltd",53.551417,-113.512247,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Edmonton",2017
"Klohn Crippen Berger Ltd",51.093253,-113.994407,541330,"Engineering Services",27.72,120,NA,2,FALSE,"AB","Calgary",2017
"Kova Engineering Ltd",53.562761,-113.315912,541330,"Engineering Services",4.851,21,NA,NA,TRUE,"AB","Sherwood Park",2017
"Kroening Consultants Ltd",53.5441356,-113.5359575,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Edmonton",2017
"Ses Engineering",53.593476,-113.590101,541330,"Engineering Services",3.234,14,NA,NA,TRUE,"AB","Edmonton",2017
"LWS Group",53.564052,-113.565837,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Edmonton",2017
"Mc Elhanney",54.11594,-115.64799,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Whitecourt",2017
"Traverse Landgroup Ltd",51.303791,-114.16693,541370,"Surveying & Mapping (except Geophysical) Services",3.675,25,NA,NA,TRUE,"AB","Airdrie",2017
"Ho & Laviolette Engrg Ltd",53.548259,-113.52177,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Edmonton",2017
"Lee Maher Engineering Assoc",51.023706,-113.958381,541330,"Engineering Services",2.31,10,NA,NA,TRUE,"AB","Calgary",2017
"Liland Engineering Ltd",55.332484,-119.168908,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Sexsmith",2017
"Lockley Engineering",51.121685,-114.141724,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Calgary",2017
"Lovse Surveys Ltd",50.975919,-114.014375,541370,"Surveying & Mapping (except Geophysical) Services",3.528,24,NA,NA,TRUE,"AB","Calgary",2017
"Sgs Canada",53.495343,-113.451085,541330,"Engineering Services",6.93,30,NA,NA,TRUE,"AB","Edmonton",2017
"MPE Engineering Ltd",51.112311,-114.04416,541330,"Engineering Services",12.705,55,NA,NA,TRUE,"AB","Calgary",2017
"MPE Engineering Ltd",49.692934,-112.836506,541330,"Engineering Services",13.398,58,NA,NA,TRUE,"AB","Lethbridge",2017
"Madis Engineering Ltd",50.959406,-113.912082,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Magna IV Engineering",53.431959,-113.464225,541330,"Engineering Services",23.1,100,NA,NA,TRUE,"AB","Edmonton",2017
"Maidment Land Surveys",51.072923,-114.160763,541370,"Surveying & Mapping (except Geophysical) Services",1.764,12,NA,NA,TRUE,"AB","Calgary",2017
"Altus Geomatics LP",58.520624,-117.133866,541370,"Surveying & Mapping (except Geophysical) Services",1.176,8,2,2,FALSE,"AB","High Level",2017
"Manson Resource Management Ltd",51.055214,-114.110582,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Calgary",2017
"GLOBAL Raymac Hiw Surveys",55.186001,-118.787256,541370,"Surveying & Mapping (except Geophysical) Services",4.41,30,NA,NA,TRUE,"AB","Grande Prairie",2017
"Martin Geomatic Conslnts Ltd",49.700486,-112.795424,541370,"Surveying & Mapping (except Geophysical) Services",1.176,8,NA,NA,TRUE,"AB","Lethbridge",2017
"Matador Engineering Ltd",53.534605,-113.432292,541330,"Engineering Services",0.693,3,NA,NA,TRUE,"AB","Edmonton",2017
"Maverick Land Consultants Ltd",53.712712,-113.211519,541370,"Surveying & Mapping (except Geophysical) Services",0.588,4,NA,NA,TRUE,"AB","Fort Saskatchewan",2017
"Morrison Hershfield Ltd",53.4158884,-113.4447708,541330,"Engineering Services",11.55,50,NA,2,FALSE,"AB","Edmonton",2017
"Mc Daniel & Assoc Consultants",51.048513,-114.066782,541330,"Engineering Services",13.86,60,NA,NA,TRUE,"AB","Calgary",2017
"Mc Elhanney Consulting Svc Ltd",53.570339,-113.564919,541370,"Surveying & Mapping (except Geophysical) Services",2.205,15,NA,NA,TRUE,"AB","Edmonton",2017
"Scott Land & Lease Ltd",51.047649,-114.066855,541370,"Surveying & Mapping (except Geophysical) Services",8.82,60,NA,NA,TRUE,"AB","Calgary",2017
"Medicine Hat Valve & Fitting",50.015756,-110.703901,331110,"Iron & Steel Mills & Ferroalloy Manufacturing",3.417,3,NA,NA,TRUE,"AB","Medicine Hat",2017
"Mega Engineering Ltd",51.043566,-114.071721,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Meridian Land Svc Ltd",50.998966,-114.053786,541370,"Surveying & Mapping (except Geophysical) Services",0.882,6,NA,NA,TRUE,"AB","Calgary",2017
"Merwin Engineering Ltd",53.498289,-113.4934791,541330,"Engineering Services",0.924,4,NA,NA,TRUE,"AB","Edmonton",2017
"Micrologic Limited",51.1262075,-114.1403405,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Microlynx Systems Ltd",51.068919,-114.015583,541330,"Engineering Services",3.003,13,NA,NA,TRUE,"AB","Calgary",2017
