"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"G Michaels Consulting Ltd",53.512252,-113.520098,541330,"Engineering Services",3.234,14,NA,NA,"AB","Edmonton",2017
"Niven Fischer Energy Svc",51.0488226,-114.073211,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Olynyk Acoustic Engineer",53.5272775,-113.4652276,541330,"Engineering Services",1.848,8,NA,NA,"AB","Edmonton",2017
"Able Compressor Svc",51.014424,-114.034467,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Absolute Systems Inc",53.55439,-113.632008,541330,"Engineering Services",2.772,12,NA,NA,"AB","Edmonton",2017
"Grey Owl Engineering Ltd",51.0459894,-114.0799615,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"Acorn Consulting Engineering",51.044581,-114.1057715,541330,"Engineering Services",2.079,9,NA,NA,"AB","Calgary",2017
"RPS Energy",51.0496618,-114.0723191,541330,"Engineering Services",11.55,50,NA,NA,"AB","Calgary",2017
"Adart Engineering Svc Ltd",51.04955,-114.186935,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Adem Engineering Ltd",51.010143,-114.034615,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"Al Neufeld Consulting Ltd",51.11978,-114.171747,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Al-Terra Engineering Ltd",52.266308,-113.814039,541330,"Engineering Services",4.62,20,NA,NA,"AB","Red Deer",2017
"Al-Terra Engineering Ltd",53.519502,-113.425859,541330,"Engineering Services",5.082,22,NA,NA,"AB","Edmonton",2017
"Allen Wasnea Engineering Ltd",53.537256,-113.501262,541330,"Engineering Services",1.155,5,NA,NA,"AB","Edmonton",2017
"Almor Testing Svc Ltd",50.987696,-113.976554,541330,"Engineering Services",8.085,35,NA,NA,"AB","Calgary",2017
"Alphamet Metallurgical",53.476545,-113.467776,541330,"Engineering Services",3.927,17,NA,NA,"AB","Edmonton",2017
"Amtech Aeronautical Ltd",50.036878,-110.696713,541330,"Engineering Services",4.62,20,NA,NA,"AB","Medicine Hat",2017
"Arcos Acoustical Consulting",51.06084,-114.126259,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Dnv Energy Canada",51.093253,-113.994407,541330,"Engineering Services",8.778,38,NA,NA,"AB","Calgary",2017
"B M Potter Consultants Ltd",51.076997,-114.011656,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"D A Watt Consulting",51.056761,-113.991305,541330,"Engineering Services",17.325,75,NA,NA,"AB","Calgary",2017
"Barbara Howes Petroleum Inc",51.113579,-114.161711,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Barnett Engineering Ltd",50.98872,-114.049858,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"Beairsto & Assoc",55.163336,-118.823485,541330,"Engineering Services",15.015,65,NA,NA,"AB","Grande Prairie",2017
"Beck Engineering Ltd",51.054445,-113.995987,541330,"Engineering Services",6.006,26,NA,NA,"AB","Calgary",2017
"Becker Elzein & Assoc Ltd",53.550618,-113.617874,541330,"Engineering Services",2.31,10,NA,NA,"AB","Edmonton",2017
"Cum Ben Engrng & Devmnt Ltd",50.942396,-114.101845,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Beta Machinery Analysis Ltd",51.02297,-114.045844,541330,"Engineering Services",11.55,50,NA,NA,"AB","Calgary",2017
"Biomech Designs Ltd",53.5354225,-113.4543035,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Bissett Resource Conslnts Ltd",51.048122,-114.082238,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"Bohnert Engineering Svc Ltd",49.700748,-112.820951,541330,"Engineering Services",0.924,4,NA,NA,"AB","Lethbridge",2017
"Bolstad Engineering Assoc Ltd",53.442405,-113.519989,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"BPTEC-DNW Engineering Ltd",53.4787431,-113.4822873,541330,"Engineering Services",6.468,28,NA,NA,"AB","Edmonton",2017
"Martin & Brusset Assoc",51.0400655,-114.0817016,541330,"Engineering Services",0.924,4,NA,NA,"AB","Calgary",2017
"Building Envelope Engrng Inc",51.017626,-114.043328,541330,"Engineering Services",0.924,4,NA,NA,"AB","Calgary",2017
"Xtel International Inc",53.548701,-113.762609,541330,"Engineering Services",0.693,3,NA,NA,"AB","Acheson",2017
"C & M Engineering Ltd",51.076481,-114.025327,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"CTM Design Svc Ltd",50.9082485,-114.0622455,541330,"Engineering Services",9.24,40,NA,NA,"AB","Calgary",2017
"Calc Engineering Inc",51.075934,-114.014561,541330,"Engineering Services",6.93,30,NA,NA,"AB","Calgary",2017
"Campbell Ryder Engineering Ltd",53.598423,-113.5051525,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Carswell Consulting Engineers",51.058369,-114.13771,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"Isl Engineering & Land Svc",51.090553,-115.356769,541330,"Engineering Services",3.465,15,NA,NA,"AB","Canmore",2017
"C-Fer Technologies Inc",53.448216,-113.476159,541330,"Engineering Services",18.249,79,NA,NA,"AB","Edmonton",2017
"V 3 Co-Canada",53.5395063,-113.4182836,541330,"Engineering Services",13.86,60,NA,NA,"AB","Edmonton",2017
"Co Syn Technology",53.431786,-113.418022,541330,"Engineering Services",127.05,550,NA,NA,"AB","Edmonton",2017
"Co-Ordinated Engineering Ltd",53.478668,-113.4752735,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Codeco Consulting Inc",51.046921,-114.077711,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"Colleaux Engineering Ltd",51.117959,-114.040121,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"Compusim Inc",51.138724,-114.158581,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Continental Stress Relieving",51.0513425,-113.9969135,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"Curtis Geo Solutions Inc",51.0587,-113.993324,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"TMTM Consulting Inc",50.9607036,-113.9067195,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"D M Professional Svc Ltd",51.049279,-114.067744,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"DCL Siemens Engineering Ltd",53.550618,-113.617874,541330,"Engineering Services",6.93,30,NA,NA,"AB","Edmonton",2017
"Darsi Engineering",51.04619,-114.087356,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Delaronde Engineering Inc",53.5485955,-113.630034,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
"Descon Engineering Svc Ltd",53.4843762,-113.4606359,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Diagnostic Engineering Inc",50.988931,-114.048939,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"E J Friesen & Assoc Inc",50.930702,-114.052016,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Woods Edward Engineering Ltd",51.056,-114.129508,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Elliot-Abrams Engineering Ltd",53.553426,-113.624354,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Smith & Anderson",51.0479103,-114.0807387,541330,"Engineering Services",9.24,40,NA,NA,"AB","Calgary",2017
"Ener-West Projects Ltd",50.972242,-114.110137,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Omni-Mc Cann Consultants Ltd",53.455436,-113.475523,541330,"Engineering Services",2.541,11,NA,NA,"AB","Edmonton",2017
"Fekete Associates Inc",51.048764,-114.072354,541330,"Engineering Services",41.58,180,NA,NA,"AB","Calgary",2017
"Fidias Consulting Engineering",53.806738,-113.448407,541330,"Engineering Services",0.462,2,NA,NA,"AB","Sturgeon County",2017
"Keystone Field Engineering Inc",53.077149,-115.126776,541330,"Engineering Services",2.31,10,NA,NA,"AB","Drayton Valley",2017
"Focus Corp",56.245269,-117.316437,541330,"Engineering Services",2.772,12,NA,NA,"AB","Peace River",2017
"G P Value Engineering Ltd",53.47957,-113.452402,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"G S Engineering Ltd",53.561379,-113.611119,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"G T Henderson Engineering Ltd",50.9161469,-114.062244,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"GVM Geological Conslnts Ltd",51.082367,-114.162832,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Coffey Geotechnics Inc",51.069153,-113.990392,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"Global Engineering & Testing",51.08165,-113.994797,541330,"Engineering Services",4.158,18,NA,NA,"AB","Calgary",2017
"Trimble Engineering Assoc Ltd",51.047748,-114.078796,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"S L R Consulting Ltd",50.9637251,-114.073997,541330,"Engineering Services",1.848,8,NA,NA,"AB","Calgary",2017
"Thimm Engineering Inc",50.996586,-113.980719,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Scheunhage Popek & Assoc Ltd",55.189315,-118.787933,541330,"Engineering Services",3.927,17,NA,NA,"AB","Grande Prairie",2017
"MMP Engineering",51.040601,-114.06092,541330,"Engineering Services",2.31,10,NA,NA,"AB","Calgary",2017
"Fjords Processing Canada Inc",50.987641,-113.995802,541330,"Engineering Services",13.86,60,NA,NA,"AB","Calgary",2017
"Hemisphere Engineering Inc",53.555822,-113.527007,541330,"Engineering Services",19.635,85,NA,NA,"AB","Edmonton",2017
"Heritage Engineering Ltd",51.017731,-114.085415,541330,"Engineering Services",0.693,3,NA,NA,"AB","Calgary",2017
"High Time Industries Ltd",51.005845,-114.053763,541330,"Engineering Services",23.1,100,NA,NA,"AB","Calgary",2017
"Hydrogeological Consultants",53.570535,-113.616368,541330,"Engineering Services",4.851,21,NA,NA,"AB","Edmonton",2017
"Isl Engineering & Land Svc",55.168888,-118.81147,541330,"Engineering Services",1.386,6,NA,NA,"AB","Grande Prairie",2017
"ISL Engineering & Land Svc",52.2665,-113.815422,541330,"Engineering Services",2.541,11,NA,NA,"AB","Red Deer",2017
"Integral Energy & Envrnmntl",50.99933,-114.034516,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Jasa Engineering Inc",50.988931,-114.048939,541330,"Engineering Services",5.775,25,NA,NA,"AB","Calgary",2017
"J K Engineering Ltd",51.0890392,-114.2018521,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"J R Paine & Assoc Ltd",55.160929,-118.823388,541330,"Engineering Services",1.617,7,NA,NA,"AB","Grande Prairie",2017
"J R Paine & Assoc Ltd",53.550483,-113.617992,541330,"Engineering Services",9.24,40,NA,NA,"AB","Edmonton",2017
"J R Paine & Assoc Ltd",56.228397,-117.342071,541330,"Engineering Services",0.924,4,NA,NA,"AB","Peace River",2017
"J R Spronken & Assoc Ltd",51.070608,-114.1047347,541330,"Engineering Services",0.693,3,NA,NA,"AB","Calgary",2017
"E B Jacobsen & Assoc Ltd",53.545378,-113.627234,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"J O Engineering",53.543307,-113.632941,541330,"Engineering Services",0.924,4,NA,NA,"AB","Edmonton",2017
"Kellam Berg Engineering & Srvy",51.00194,-114.067146,541330,"Engineering Services",9.24,40,NA,NA,"AB","Calgary",2017
"Kova Engineering Ltd",53.562761,-113.315912,541330,"Engineering Services",4.851,21,NA,NA,"AB","Sherwood Park",2017
"Kroening Consultants Ltd",53.5441356,-113.5359575,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Ses Engineering",53.593476,-113.590101,541330,"Engineering Services",3.234,14,NA,NA,"AB","Edmonton",2017
"LWS Group",53.564052,-113.565837,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Ho & Laviolette Engrg Ltd",53.548259,-113.52177,541330,"Engineering Services",1.386,6,NA,NA,"AB","Edmonton",2017
"Lee Maher Engineering Assoc",51.023706,-113.958381,541330,"Engineering Services",2.31,10,NA,NA,"AB","Calgary",2017
"Liland Engineering Ltd",55.332484,-119.168908,541330,"Engineering Services",0.693,3,NA,NA,"AB","Sexsmith",2017
"Lockley Engineering",51.121685,-114.141724,541330,"Engineering Services",0.693,3,NA,NA,"AB","Calgary",2017
"Sgs Canada",53.495343,-113.451085,541330,"Engineering Services",6.93,30,NA,NA,"AB","Edmonton",2017
"MPE Engineering Ltd",51.112311,-114.04416,541330,"Engineering Services",12.705,55,NA,NA,"AB","Calgary",2017
"MPE Engineering Ltd",49.692934,-112.836506,541330,"Engineering Services",13.398,58,NA,NA,"AB","Lethbridge",2017
"Madis Engineering Ltd",50.959406,-113.912082,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Magna IV Engineering",53.431959,-113.464225,541330,"Engineering Services",23.1,100,NA,NA,"AB","Edmonton",2017
"Matador Engineering Ltd",53.534605,-113.432292,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Mc Daniel & Assoc Consultants",51.048513,-114.066782,541330,"Engineering Services",13.86,60,NA,NA,"AB","Calgary",2017
"Mega Engineering Ltd",51.043566,-114.071721,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Merwin Engineering Ltd",53.498289,-113.4934791,541330,"Engineering Services",0.924,4,NA,NA,"AB","Edmonton",2017
"Micrologic Limited",51.1262075,-114.1403405,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Microlynx Systems Ltd",51.068919,-114.015583,541330,"Engineering Services",3.003,13,NA,NA,"AB","Calgary",2017
"Stress Engineering Svc Ulc",50.942276,-113.975075,541330,"Engineering Services",2.541,11,NA,NA,"AB","Calgary",2017
"TMP Consulting Engineers",51.023004,-114.057916,541330,"Engineering Services",3.927,17,NA,NA,"AB","Calgary",2017
"Morasch Transportation Cnslnts",50.9607552,-114.0728742,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Mulvey & Banani Intl Inc",51.04884,-114.078756,541330,"Engineering Services",7.161,31,NA,NA,"AB","Calgary",2017
"NRG Engineering Ltd",51.045712,-114.072967,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Nenniger Engineering Inc",51.074992,-114.014452,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Neotechnology Consultants Ltd",51.047036,-114.081417,541330,"Engineering Services",4.389,19,NA,NA,"AB","Calgary",2017
"New Paradigm Engineering Ltd",53.45158,-113.495238,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"Nimbus Projects Ltd",51.047881,-114.074497,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"Ganotec West",53.5517031,-113.7626249,541330,"Engineering Services",13.86,60,NA,NA,"AB","Acheson",2017
"Northern Fire Protection Ltd",53.5436525,-113.418388,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Northern Materials Engineering",53.491679,-113.444837,541330,"Engineering Services",2.31,10,NA,NA,"AB","Edmonton",2017
"Northwest Hydraulic Conslnts",53.4195,-113.521451,541330,"Engineering Services",6.237,27,NA,NA,"AB","Edmonton",2017
"Norwest Engineering Ltd",51.043013,-114.07161,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"Norwest Corp",51.0496618,-114.0723191,541330,"Engineering Services",23.1,100,NA,NA,"AB","Calgary",2017
"O'Connor Associates Environmen",53.499793,-113.469734,541330,"Engineering Services",3.927,17,NA,NA,"AB","Edmonton",2017
"O'Rourke Engineering Ltd",51.0884969,-113.9985622,541330,"Engineering Services",14.784,64,NA,NA,"AB","Calgary",2017
"Olsen Engineering Ltd",51.0593742,-113.9873836,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"Olympia Engineering",51.087091,-113.994686,541330,"Engineering Services",0.693,3,NA,NA,"AB","Calgary",2017
"Midwest Engineering",50.95335,-114.001513,541330,"Engineering Services",2.079,9,NA,NA,"AB","Calgary",2017
"Tyco Thermal Controls",53.557471,-113.621442,541330,"Engineering Services",46.2,200,NA,NA,"AB","Edmonton",2017
"Opus Petroleum Engineering Ltd",51.093792,-114.159007,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"P E Rivers & Assoc Ltd",53.543041,-113.529687,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"PHH Petroleum Consultants",51.046921,-114.077711,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"Insite Petroleum Conslnts Ltd",51.047748,-114.078796,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"Paladin Projects Intl Ltd",51.122856,-114.189601,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Palm Engineering Ltd",51.457729,-112.716702,541330,"Engineering Services",0.462,2,NA,NA,"AB","Drumheller",2017
"Partridge Hill Engineering Ltd",53.650313,-113.074099,541330,"Engineering Services",0.462,2,NA,NA,"AB","Fort Saskatchewan",2017
"Patching Associates Acoustical",51.100465,-113.964074,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
"Paul A Hawkins & Assoc Ltd",51.0423945,-114.1723715,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Proactive Technologies",51.032289,-114.088958,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Process Engineering Ltd",51.041622,-114.074269,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"R & H Chemical Engineering Ltd",51.0494087,-114.0633026,541330,"Engineering Services",2.31,10,NA,NA,"AB","Calgary",2017
"RAK Engineering Ltd",53.55439,-113.632008,541330,"Engineering Services",1.155,5,NA,NA,"AB","Edmonton",2017
"RDW Engineering Ltd",53.571264,-113.549561,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"R E Harder Consulting Engr Ltd",51.13076,-114.183616,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Rae Mc Lean & Assoc",51.000093,-114.069555,541330,"Engineering Services",2.079,9,NA,NA,"AB","Calgary",2017
"Read Jones Christoffersen Ltd",53.543544,-113.619311,541330,"Engineering Services",12.705,55,NA,NA,"AB","Edmonton",2017
"Read Jones Christoffersen Ltd",51.070744,-114.117901,541330,"Engineering Services",18.48,80,NA,NA,"AB","Calgary",2017
"Regier Engineering Ltd",51.076913,-114.00893,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"Reinforced Earth Co Ltd",53.5172152,-113.4990724,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"Reintjes Enterprises",53.55326,-113.637787,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Renneberg-Walker Engrg Assoc",53.5328537,-113.4141467,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Ring Irrigation Engineering",49.464038,-112.66838,541330,"Engineering Services",0.693,3,NA,NA,"AB","Raymond",2017
"Realty Executives East",53.516637,-113.418312,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"SCL Engineering Ltd",53.492849,-113.438357,541330,"Engineering Services",1.386,6,NA,NA,"AB","Edmonton",2017
"Samac Engineering",50.988186,-114.03863,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"Sameng Inc",53.549803,-113.493429,541330,"Engineering Services",3.234,14,NA,NA,"AB","Edmonton",2017
"Scheffer Andrew Ltd",53.576418,-113.571471,541330,"Engineering Services",9.24,40,NA,NA,"AB","Edmonton",2017
"Seale Engineering Ltd",53.543541,-113.619323,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"Shelby Engineering Ltd",53.489818,-113.478447,541330,"Engineering Services",8.085,35,NA,NA,"AB","Edmonton",2017
"Sigma 3 Engineering Ltd",53.5441356,-113.5359575,541330,"Engineering Services",2.31,10,NA,NA,"AB","Edmonton",2017
"Koziak Engineering Ltd",53.483134,-113.479514,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Abb SINAI",53.48453,-113.4860675,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
"Singleton Associated Engrng",51.037179,-114.08706,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"Sky Engineering Ltd",53.442275,-113.514547,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Smith Dow & Assoc Ltd",52.285365,-113.803176,541330,"Engineering Services",1.386,6,NA,NA,"AB","Red Deer",2017
"Spirit Industrial Ltd",53.545284,-113.624055,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Sterling Engineering Inc",50.99933,-114.034516,541330,"Engineering Services",0.924,4,NA,NA,"AB","Calgary",2017
"Sunwise Engineering Ltd",50.037849,-110.675639,541330,"Engineering Services",2.079,9,NA,NA,"AB","Medicine Hat",2017
"Sutherland Engineering Ltd",50.941185,-114.120699,541330,"Engineering Services",0.693,3,NA,NA,"AB","Calgary",2017
"T G Engineering Ltd",51.048122,-114.082238,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"TTL Mechanical Engineering",53.518039,-113.423913,541330,"Engineering Services",1.386,6,NA,NA,"AB","Edmonton",2017
"TWS Engineering Ltd",53.5115345,-113.4874305,541330,"Engineering Services",11.55,50,NA,NA,"AB","Edmonton",2017
"Tagish Engineering Ltd",52.266884,-113.828494,541330,"Engineering Services",5.775,25,NA,NA,"AB","Red Deer",2017
"Techcord Consulting Group Ltd",50.988978,-114.048797,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"TLJ Engineering Consultants",51.058153,-114.09472,541330,"Engineering Services",2.079,9,NA,NA,"AB","Calgary",2017
"New Millennium Iron Corp",51.0865254,-113.99705,541330,"Engineering Services",4.158,18,NA,NA,"AB","Calgary",2017
"Sutton Thomas Engineering Ltd",51.023274,-114.047521,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Toyo Engineering Canada Ltd",51.040644,-114.06624,541330,"Engineering Services",23.1,100,NA,NA,"AB","Calgary",2017
"Tridyne Projects Corp",51.04782,-114.076013,541330,"Engineering Services",9.24,40,NA,NA,"AB","Calgary",2017
"AECOM",52.267631,-113.814037,541330,"Engineering Services",2.31,10,NA,NA,"AB","Red Deer",2017
"Urban Systems Ltd",51.0726184,-113.997836,541330,"Engineering Services",25.41,110,NA,NA,"AB","Calgary",2017
"Vector Engineering Ltd",53.565357,-113.518347,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"Ventco & Assoc Ltd",53.491729,-113.6209912,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"Venture Engineering Conslnts",53.481121,-113.545677,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"W F Snihur Engineering Inc",53.548764,-113.627344,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"WNM Engineering Ltd",52.271043,-113.815427,541330,"Engineering Services",1.386,6,NA,NA,"AB","Red Deer",2017
"W-E-R Engineering Ltd",56.228595,-117.339725,541330,"Engineering Services",1.617,7,NA,NA,"AB","Peace River",2017
"Wade Engineering Ltd",53.5693392,-113.5839404,541330,"Engineering Services",4.62,20,NA,NA,"AB","Edmonton",2017
"Walters Chambers & Assoc Ltd",53.540966,-113.505615,541330,"Engineering Services",2.31,10,NA,NA,"AB","Edmonton",2017
"Wasnea Mah Engineering Ltd",53.5439777,-113.5341386,541330,"Engineering Services",2.31,10,NA,NA,"AB","Edmonton",2017
"Wajax Power Systems",50.950535,-113.967381,541330,"Engineering Services",27.72,120,NA,NA,"AB","Calgary",2017
"Alpac/Waterworks Tech",51.063394,-114.107646,541330,"Engineering Services",2.31,10,NA,NA,"AB","Calgary",2017
"Acoustic Solutions Ltd",53.566575,-113.527002,541330,"Engineering Services",3.465,15,NA,NA,"AB","Edmonton",2017
"S E Moores Ltd",47.709979,-53.204069,541330,"Engineering Services",0.231,1,NA,NA,"NL","Harbour Grace",2017
"Atlantic Engineering Conslnts",48.9536012,-57.9448028,541330,"Engineering Services",3.927,17,NA,NA,"NL","Corner Brook",2017
"Avalon Controls Ltd",47.520154,-52.835093,541330,"Engineering Services",4.851,21,NA,NA,"NL","Mount Pearl",2017
"MCA Consultants Inc",46.251703,-63.109378,541330,"Engineering Services",2.541,11,NA,NA,"PE","Charlottetown",2017
"Bridger Design Assoc Ltd",47.5993699,-52.7114539,541330,"Engineering Services",1.848,8,NA,NA,"NL","St. John's",2017
"Archer Cathro & Assoc Ltd",60.720497,-135.055133,541330,"Engineering Services",0.693,3,NA,NA,"YT","Whitehorse",2017
"Cecon Limited",48.961497,-54.610436,541330,"Engineering Services",3.465,15,NA,NA,"NL","Gander",2017
"Dorward Engineering Ltd",60.7223444,-135.0570336,541330,"Engineering Services",1.155,5,NA,NA,"YT","Whitehorse",2017
"Klohn Leonoff Yukon Ltd",60.720497,-135.055133,541330,"Engineering Services",0.231,1,NA,NA,"YT","Whitehorse",2017
"L Whelan & Assoc Ltd",60.7225729,-135.0558609,541330,"Engineering Services",0.693,3,NA,NA,"YT","Whitehorse",2017
"Marenco Engineering Ltd",46.2647993,-63.1706287,541330,"Engineering Services",1.386,6,NA,NA,"PE","Charlottetown",2017
"New Era Engineering Corp",60.58749,-134.931556,541330,"Engineering Services",0.462,2,NA,NA,"YT","Whitehorse",2017
"Northern Climate Engineering",60.737614,-135.07899,541330,"Engineering Services",1.155,5,NA,NA,"YT","Whitehorse",2017
"Crosbie Engineering Ltd",47.5599997,-52.7735366,541330,"Engineering Services",2.31,10,NA,NA,"NL","St. John's",2017
"Superior Indoor Climate Engnr",60.701769,-135.022935,541330,"Engineering Services",0.231,1,NA,NA,"YT","Whitehorse",2017
"Delcan",47.557006,-52.760948,541330,"Engineering Services",0.693,3,NA,NA,"NL","St. John's",2017
"Yukon Engineering Svc",60.738847,-135.072208,541330,"Engineering Services",2.31,10,NA,NA,"YT","Whitehorse",2017
"Eastern Technical Svc Ltd",47.563091,-52.768648,541330,"Engineering Services",1.848,8,NA,NA,"NL","St. John's",2017
"Richardson Associates Ltd",46.259741,-63.155391,541330,"Engineering Services",1.617,7,NA,NA,"PE","Charlottetown",2017
"Kendell Engineering Ltd",47.561388,-52.745052,541330,"Engineering Services",0.924,4,NA,NA,"NL","St. John's",2017
"Harris & Assoc Ltd",47.739651,-53.226968,541330,"Engineering Services",1.617,7,NA,NA,"NL","Carbonear",2017
"Howley Talabany & Assoc Ltd",47.560216,-52.71118,541330,"Engineering Services",0.462,2,NA,NA,"NL","St. John's",2017
"Instrumar Limited",47.5552933,-52.7669429,541330,"Engineering Services",8.085,35,NA,NA,"NL","St. John's",2017
"Leonard Consultants Inc",47.590514,-52.729439,541330,"Engineering Services",0.231,1,NA,NA,"NL","St. John's",2017
"MNC Group Inc",47.5606323,-52.712527,541330,"Engineering Services",1.386,6,NA,NA,"NL","St. John's",2017
"Para Engineering Inc",47.564324,-52.710387,541330,"Engineering Services",0.693,3,NA,NA,"NL","St. John's",2017
"Newlab Engineering Ltd",47.535964,-53.209132,541330,"Engineering Services",2.079,9,NA,NA,"NL","South River",2017
"BAE-NEWPLAN Group Ltd",47.52601,-52.767919,541330,"Engineering Services",0.693,3,NA,NA,"NL","Mount Pearl",2017
